Asset_ID,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15
A01,-0.09106328044761494,0.019267191132759,0.0081849951099661,0.00378324520482115,0.0087428646884985,0.0077622550504301,-0.00121215612529175,0.01485834228652375,0.01984882639359905,0.0119581835486212,-0.00830290816326385,0.01044552439555715,0.0020561324847917,0.0041303626490632,0.00252306916559655
A02,0.019267191132759,-0.09753277995386746,-0.0021565630380395,0.02013647036891785,0.0256776465015977,0.007534948587405,-0.0009841413960994,0.0047007294669194,0.021680660555819,0.0088145062927469,0.00297636063094335,0.0095201530264461,0.00050676142343605,0.0048282738701986,0.0029215740073702
A03,0.0081849951099661,-0.0021565630380395,-0.07934846556443535,0.0077503783270317,0.00135132507162325,0.0018684194208335,0.00492220556947125,0.0112193208193722,0.00675268239597675,0.0115217599946254,0.01142450012052525,-0.0026271373631146,-7.48361974681e-05,0.0029251153364013,0.00115016484437585
A04,0.00378324520482115,0.02013647036891785,0.0077503783270317,-0.09016967345181245,0.006840557908883,0.0063267527236846,0.0102958446921292,0.0023463644866877,-0.0018938245466361,0.0058291999270509,0.00311948757933675,0.0030391094586129,0.00097750965772785,0.00439027619297505,0.0045750889080976
A05,0.0087428646884985,0.0256776465015977,0.0013513250716233,0.006840557908883,-0.12546221053103468,0.01300481149499805,0.00716988301539565,0.0180465918285119,-0.0094262987946061,0.00635541881919895,0.0129373931179964,-0.0030376176488527,0.0016588519177237,0.0010859490568724,0.0027625739096458
A06,0.0077622550504301,0.007534948587405,0.0018684194208335,0.0063267527236846,0.01300481149499805,-0.1145050908700811,0.0075539467202259,0.00611904917742105,0.00958508892714895,0.0064778147825864,0.01236850041311825,0.00165291558034735,0.0011198274571796,0.00428993782697705,0.00056281803361975
A07,-0.00121215612529175,-0.0009841413960994,0.00492220556947125,0.0102958446921292,0.00716988301539565,0.0075539467202259,-0.0847820090293249,0.00407888272266695,0.0057574932799247,0.0041893945792396,0.00140141321937265,0.01045515994053055,0.00256378376532585,0.003845102018095,0.00098674120973955
A08,0.01485834228652375,0.0047007294669194,0.0112193208193722,0.0023463644866877,0.0180465918285119,0.00611904917742105,0.00407888272266695,-0.11746118490412207,0.0189675121581376,0.01047117358845415,0.008317678234243,0.0087056209653016,0.0012695835196925,0.0015547135214528,0.00310268440031805
A09,0.01984882639359905,0.021680660555819,0.00675268239597675,-0.0018938245466361,-0.0094262987946061,0.00958508892714895,0.0057574932799247,0.0189675121581376,-0.09310333012912056,0.01297310726210005,0.0119751843619808,0.00475419525468555,0.0016327567064331,0.00349109274281155,0.0001137980327725
A10,0.0119581835486212,0.0088145062927469,0.0115217599946254,0.0058291999270509,0.00635541881919895,0.00647781478258645,0.0041893945792396,0.01047117358845415,0.01297310726210005,-0.0916210893143916,0.0082776649076674,-0.00052372710008255,-0.0001013697415429,0.00132165837312775,0.0006718320833971
A11,-0.00830290816326385,0.00297636063094335,0.01142450012052525,0.00311948757933675,0.0129373931179964,0.01236850041311825,0.00140141321937265,0.008317678234243,0.0119751843619808,0.0082776649076674,-0.13222125909162064,0.00094452202345435,-0.00113690809092935,0.0035434374693701,0.0027205780394979
A12,0.01044552439555715,0.0095201530264461,-0.0026271373631146,0.0030391094586129,-0.0030376176488527,0.00165291558034735,0.01045515994053055,0.0087056209653016,0.00475419525468555,-0.00052372710008255,0.00094452202345435,-0.13485469018879626,-0.0006113939578834,0.00341314534549215,0.00244264624834685
A13,0.0020561324847917,0.00050676142343605,-7.48361974681e-05,0.00097750965772785,0.0016588519177237,0.0011198274571796,0.00256378376532585,0.0012695835196925,0.0016327567064331,-0.0001013697415429,-0.00113690809092935,-0.0006113939578834,-0.04793906425971525,0.00063361825227405,0.000158139072983
A14,0.0041303626490632,0.0048282738701986,0.0029251153364013,0.00439027619297505,0.0010859490568724,0.00428993782697705,0.003845102018095,0.0015547135214528,0.00349109274281155,0.00132165837312775,0.0035434374693701,0.00341314534549215,0.00063361825227405,-0.03875398681989955,-0.00013555096979115
A15,0.00252306916559655,0.0029215740073702,0.00115016484437585,0.0045750889080976,0.0027625739096458,0.00056281803361975,0.00098674120973955,0.00310268440031805,0.0001137980327725,0.0006718320833971,0.0027205780394979,0.00244264624834685,0.000158139072983,-0.00013555096979115,-0.050497428502814204
